Sub-Category,Total_Sales,Avg_Order_Value,Growth_Rate,Volatility,Cluster,PC1,PC2,Cluster Name
Accessories,164186.7,217.17817460317463,3.6952607610788526,337.7238003025529,0,-0.37033834331877036,-0.10498346342835371,"High Volume, Stable Demand"
Appliances,104618.403,227.92680392156865,8.032174689715616,378.006735342579,3,-0.5980967680599293,0.8928434753854766,Declining Demand
Art,26705.41,34.019630573248406,3.0429605755560414,60.30175206385381,3,-1.250231169324118,-0.4189616911059887,Declining Demand
Binders,200028.785,134.0675502680965,14.186656424271074,568.0999701534901,2,-0.32675811203115446,2.527553228756076,"Low Volume, High Volatility"
Bookcases,113813.1987,503.5982243362832,1.1236724085769882,641.4192798221117,0,0.045875670898881525,-0.7817548852582302,"High Volume, Stable Demand"
Chairs,322822.73099999997,531.8331647446457,1.3130270939764184,551.1802962314553,0,0.7310444512093865,-0.5332080430227885,"High Volume, Stable Demand"
Copiers,146248.094,2215.8802121212125,1.9656812222130187,3216.185498860817,1,4.007011734752097,-0.4338170188517974,Growing Demand
Envelopes,16128.046,65.03244354838709,2.8619713374317315,85.17069055053564,3,-1.230209608678344,-0.47487686872408125,Declining Demand
Fasteners,3001.96,14.02785046728972,1.029625701111216,12.466863518420524,3,-1.3606101087450966,-0.9374827042167001,Declining Demand
Furnishings,89212.018,95.82386466165413,2.7546631054082167,148.42149027755255,3,-0.8941954759396847,-0.4207371522481075,Declining Demand
Labels,12347.726,34.587467787114846,1.9211979181282406,74.80271113497773,3,-1.2719468663110678,-0.7052866929666858,Declining Demand
Machines,189238.631,1645.5533130434783,4.251209917314374,2765.102088268794,1,3.135300725443152,0.1834825427865253,Growing Demand
Paper,76828.304,57.42025710014948,1.9041242501570717,78.49228521860516,3,-1.020019356722418,-0.6447669973729937,Declining Demand
Phones,327782.448,374.1808767123287,3.829511207805687,494.39022758502534,0,0.4884107991089492,0.09790127374540422,"High Volume, Stable Demand"
Storage,219343.392,263.6338846153846,3.789347068650819,354.9074821808669,0,-0.11522745828290423,-0.0284363827765999,"High Volume, Stable Demand"
Supplies,46420.308,252.28428260869563,14.488136708576866,938.087745586469,2,-0.45360743757462935,2.473230823928012,"Low Volume, High Volatility"
Tables,202810.628,645.8937197452229,1.2153720915679451,598.5849814503799,0,0.4835973235756495,-0.6906994446291671,"High Volume, Stable Demand"
